airline_name,type,flight_date,timestamp,price
United Airlines,Total,12 March – 14 April,2023-02-02,"3,188"
United Airlines,Total,12 March – 15 April,2023-02-02,"3,510"
United Airlines,Total,12 March – 16 April,2023-02-02,"4,048"
United Airlines,Total,12 March – 17 April,2023-02-02,"5,574"
United Airlines,Total,12 March – 18 April,2023-02-02,"6,135"
United Airlines,Total,12 March – 19 April,2023-02-02,"6,423"
United Airlines,Total,13 March – 13 April,2023-02-02,"2,472"
United Airlines,Total,13 March – 14 April,2023-02-02,"3,310"
United Airlines,Total,13 March – 15 April,2023-02-02,"3,504"
United Airlines,Total,13 March – 16 April,2023-02-02,"4,062"
United Airlines,Total,13 March – 17 April,2023-02-02,"5,659"
United Airlines,Total,13 March – 18 April,2023-02-02,"6,184"
United Airlines,Total,13 March – 19 April,2023-02-02,"6,549"
United Airlines,Total,14 March – 13 April,2023-02-02,"2,558"
United Airlines,Total,14 March – 14 April,2023-02-02,"3,280"
United Airlines,Total,14 March – 15 April,2023-02-02,"3,543"
United Airlines,Total,14 March – 16 April,2023-02-02,"3,979"
United Airlines,Total,14 March – 17 April,2023-02-02,"5,686"
United Airlines,Total,14 March – 18 April,2023-02-02,"6,137"
United Airlines,Total,14 March – 19 April,2023-02-02,"6,432"
United Airlines,Total,15 March – 13 April,2023-02-02,"2,439"
United Airlines,Total,15 March – 14 April,2023-02-02,"3,191"
United Airlines,Total,15 March – 15 April,2023-02-02,"3,493"
United Airlines,Total,15 March – 16 April,2023-02-02,"3,998"
United Airlines,Total,15 March – 17 April,2023-02-02,"5,653"
United Airlines,Total,15 March – 18 April,2023-02-02,"6,259"
United Airlines,Total,15 March – 19 April,2023-02-02,"6,480"
United Airlines,Total,16 March – 13 April,2023-02-02,"2,577"
United Airlines,Total,16 March – 14 April,2023-02-02,"3,177"
United Airlines,Total,16 March – 15 April,2023-02-02,"3,415"
United Airlines,Total,16 March – 16 April,2023-02-02,"4,008"
United Airlines,Total,16 March – 17 April,2023-02-02,"5,518"
United Airlines,Total,16 March – 18 April,2023-02-02,"6,122"
United Airlines,Total,16 March – 19 April,2023-02-02,"6,399"
United Airlines,Total,17 March – 13 April,2023-02-02,"2,543"
United Airlines,Total,17 March – 14 April,2023-02-02,"3,233"
United Airlines,Total,17 March – 15 April,2023-02-02,"3,401"
United Airlines,Total,17 March – 16 April,2023-02-02,"3,897"
United Airlines,Total,17 March – 17 April,2023-02-02,"5,591"
United Airlines,Total,17 March – 18 April,2023-02-02,"6,184"
United Airlines,Total,17 March – 19 April,2023-02-02,"6,384"
United Airlines,Total,18 March – 13 April,2023-02-02,"2,520"
United Airlines,Total,18 March – 14 April,2023-02-02,"3,229"
United Airlines,Total,18 March – 15 April,2023-02-02,"3,555"
United Airlines,Total,18 March – 16 April,2023-02-02,"4,053"
United Airlines,Total,18 March – 17 April,2023-02-02,"5,578"
United Airlines,Total,18 March – 18 April,2023-02-02,"6,175"
United Airlines,Total,18 March – 19 April,2023-02-02,"6,487"
United Airlines,Departure,1880,2023-02-03,"2,029"
United Airlines,Departure,1850,2023-02-03,"2,038"
United Airlines,Departure,1200,2023-02-03,848
United Airlines,Departure,1000,2023-02-03,"1,401"
United Airlines,Departure,1900,2023-02-03,"2,220"
United Airlines,Departure,1990,2023-02-03,"1,968"
United Airlines,Departure,1760,2023-02-03,"1,940"
United Airlines,Return,13 April,2023-02-03,709
United Airlines,Return,14 April,2023-02-03,618
United Airlines,Return,15 April,2023-02-03,"1,006"
United Airlines,Return,16 April,2023-02-03,721
United Airlines,Return,17 April,2023-02-03,719
United Airlines,Return,18 April,2023-02-03,520
United Airlines,Return,19 April,2023-02-03,294
United Airlines,Total,12 March – 13 April,2023-02-03,"2,487"
United Airlines,Total,12 March – 14 April,2023-02-03,"3,292"
United Airlines,Total,12 March – 15 April,2023-02-03,"3,434"
United Airlines,Total,12 March – 16 April,2023-02-03,"3,981"
United Airlines,Total,12 March – 17 April,2023-02-03,"5,541"
United Airlines,Total,12 March – 18 April,2023-02-03,"6,250"
United Airlines,Total,12 March – 19 April,2023-02-03,"6,430"
United Airlines,Total,13 March – 13 April,2023-02-03,"2,494"
United Airlines,Total,13 March – 14 April,2023-02-03,"3,175"
United Airlines,Total,13 March – 15 April,2023-02-03,"3,477"
United Airlines,Total,13 March – 16 April,2023-02-03,"3,897"
United Airlines,Total,13 March – 17 April,2023-02-03,"5,552"
United Airlines,Total,13 March – 18 April,2023-02-03,"6,163"
United Airlines,Total,13 March – 19 April,2023-02-03,"6,382"
United Airlines,Total,14 March – 13 April,2023-02-03,"2,474"
United Airlines,Total,14 March – 14 April,2023-02-03,"3,213"
United Airlines,Total,14 March – 15 April,2023-02-03,"3,434"
United Airlines,Total,14 March – 16 April,2023-02-03,"3,904"
United Airlines,Total,14 March – 17 April,2023-02-03,"5,609"
United Airlines,Total,14 March – 18 April,2023-02-03,"6,105"
United Airlines,Total,14 March – 19 April,2023-02-03,"6,403"
United Airlines,Total,15 March – 13 April,2023-02-03,"2,545"
United Airlines,Total,15 March – 14 April,2023-02-03,"3,241"
United Airlines,Total,15 March – 15 April,2023-02-03,"3,555"
United Airlines,Total,15 March – 16 April,2023-02-03,"4,012"
United Airlines,Total,15 March – 17 April,2023-02-03,"5,609"
United Airlines,Total,15 March – 18 April,2023-02-03,"6,108"
United Airlines,Total,15 March – 19 April,2023-02-03,"6,420"
United Airlines,Total,16 March – 13 April,2023-02-03,"2,435"
United Airlines,Total,16 March – 14 April,2023-02-03,"3,220"
United Airlines,Total,16 March – 15 April,2023-02-03,"3,535"
United Airlines,Total,16 March – 16 April,2023-02-03,"3,948"
United Airlines,Total,16 March – 17 April,2023-02-03,"5,525"
United Airlines,Total,16 March – 18 April,2023-02-03,"6,163"
United Airlines,Total,16 March – 19 April,2023-02-03,"6,409"
United Airlines,Total,17 March – 13 April,2023-02-03,"2,560"
United Airlines,Total,17 March – 14 April,2023-02-03,"3,300"
United Airlines,Total,17 March – 15 April,2023-02-03,"3,460"
United Airlines,Total,17 March – 16 April,2023-02-03,"4,065"
United Airlines,Total,17 March – 17 April,2023-02-03,"5,586"
United Airlines,Total,17 March – 18 April,2023-02-03,"6,178"
United Airlines,Total,17 March – 19 April,2023-02-03,"6,481"
United Airlines,Total,18 March – 13 April,2023-02-03,"2,481"
United Airlines,Total,18 March – 14 April,2023-02-03,"3,257"
United Airlines,Total,18 March – 15 April,2023-02-03,"3,559"
United Airlines,Total,18 March – 16 April,2023-02-03,"4,018"
United Airlines,Total,18 March – 17 April,2023-02-03,"5,647"
United Airlines,Total,18 March – 18 April,2023-02-03,"6,294"
United Airlines,Total,18 March – 19 April,2023-02-03,"6,558"
United Airlines,Departure,1880,2023-02-04,"1,884"
United Airlines,Departure,1850,2023-02-04,"2,348"
United Airlines,Departure,1200,2023-02-04,"1,179"
United Airlines,Departure,1000,2023-02-04,689
United Airlines,Departure,1900,2023-02-04,"1,514"
United Airlines,Departure,1990,2023-02-04,"2,015"
United Airlines,Departure,1760,2023-02-04,"1,688"
United Airlines,Return,13 April,2023-02-04,570
United Airlines,Return,14 April,2023-02-04,552
United Airlines,Return,15 April,2023-02-04,964
United Airlines,Return,16 April,2023-02-04,566
United Airlines,Return,17 April,2023-02-04,778
United Airlines,Return,18 April,2023-02-04,413
United Airlines,Return,19 April,2023-02-04,482
United Airlines,Total,12 March – 13 April,2023-02-04,"2,447"
United Airlines,Total,12 March – 14 April,2023-02-04,"3,279"
United Airlines,Total,12 March – 15 April,2023-02-04,"3,558"
United Airlines,Total,12 March – 16 April,2023-02-04,"3,967"
United Airlines,Total,12 March – 17 April,2023-02-04,"5,518"
United Airlines,Total,12 March – 18 April,2023-02-04,"6,126"
United Airlines,Total,12 March – 19 April,2023-02-04,"6,416"
United Airlines,Total,13 March – 13 April,2023-02-04,"2,439"
United Airlines,Total,13 March – 14 April,2023-02-04,"3,152"
United Airlines,Total,13 March – 15 April,2023-02-04,"3,590"
United Airlines,Total,13 March – 16 April,2023-02-04,"4,039"
United Airlines,Total,13 March – 17 April,2023-02-04,"5,611"
United Airlines,Total,13 March – 18 April,2023-02-04,"6,111"
United Airlines,Total,13 March – 19 April,2023-02-04,"6,508"
United Airlines,Total,14 March – 13 April,2023-02-04,"2,442"
United Airlines,Total,14 March – 14 April,2023-02-04,"3,232"
United Airlines,Total,14 March – 15 April,2023-02-04,"3,542"
United Airlines,Total,14 March – 16 April,2023-02-04,"3,914"
United Airlines,Total,14 March – 17 April,2023-02-04,"5,700"
United Airlines,Total,14 March – 18 April,2023-02-04,"6,235"
United Airlines,Total,14 March – 19 April,2023-02-04,"6,418"
United Airlines,Total,15 March – 13 April,2023-02-04,"2,433"
United Airlines,Total,15 March – 14 April,2023-02-04,"3,143"
United Airlines,Total,15 March – 15 April,2023-02-04,"3,393"
United Airlines,Total,15 March – 16 April,2023-02-04,"4,077"
United Airlines,Total,15 March – 17 April,2023-02-04,"5,692"
United Airlines,Total,15 March – 18 April,2023-02-04,"6,186"
